"DR" "ES"
"Akodon_mystax" 0.287916864361346 3.47322482209644
"Akodon_neocenus" 0.236879652259017 4.22155297199839
"Akodon_oenos" 0.177312738307479 5.63975273037571
"Akodon_orophilus" 0.380593247371803 2.62747698995063
"Akodon_paranaensis" 0.140209678484786 7.13217525927435
"Akodon_pervalens" 0.177312738307479 5.63975273037571
"Akodon_philipmyersi" 0.192103110019344 5.20553779633919
"Akodon_reigi" 0.289472628725145 3.4545580506318
"Akodon_sanctipaulensis" 0.289472628725145 3.4545580506318
"Akodon_serrensis" 0.388867005311747 2.57157327914288
"Akodon_siberiae" 0.224203860472098 4.46022650053543
"Akodon_simulator" 0.478819728915752 2.08846866494916
"Akodon_spegazzinii" 0.388867005311747 2.57157327914288
"Akodon_subfuscus" 0.266923364813816 3.74639365383962
"Akodon_surdus" 0.162595871713182 6.15021764983059
