"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"198","Abrothrix",10816,5.57640091729994,10,5.8,5.82,4.52,7.1
"199","Acerodon",8302,4.93308489520001,5,5.75,5.95,3.09,9.32
"200","Acomys",9621,19.1964052747,20,20.26,20.39,16.69,24.57
"201","Aconaemys",9469,2.13527003939996,3,2.07,2.09,0.95,3.2
"202","Aegialomys",10932,1.20729220023998,2,1.94,1.98,1.04,2.98
"203","Aepeomys",10737,5.10065777519995,2,2.06,3.21,0.01,10.14
"204","Aeromys",9153,7.71673966099996,2,1.52,2.16,0,6.28
"205","Aethalops",8373,1.17606176659001,2,0.58,0.63,0.09,1.23
"206","Aethomys",9942,13.2059332278999,11,13.17,13.21,10.63,15.81
"207","Ailurops",11711,10.8578607392,2,2.56,3.12,0.01,7.85
"208","Akodon",10643,19.7556967412,44,19.33,19.35,16.46,22.09
"209","Alces",6629,0.634917696899919,2,0.27,0.3,0.05,0.62
"210","Allactaga",11119,15.5300881918999,13,9.19,9.41,6.31,12.89
"211","Allocricetulus",10459,3.83646917009997,2,1.5,2.13,0.01,6.13
"212","Alouatta",8691,7.51721265329996,14,4.95,5.36,3.03,8.98
"213","Alticola",10418,5.43937791049996,12,6.23,6.27,5.02,7.67
"214","Amblysomus",11450,4.47131175399997,5,6.28,6.53,3.2,10.26
"215","Ammospermophilus",9083,2.25733223199995,4,2.18,2.74,0.9,7.09
"216","Andalgalomys",10845,5.25371333959995,2,4.94,4.97,3.28,6.73
"217","Anomalurus",9484,8.59877647099998,4,11.06,11.8,1.62,22.99
"218","Anoura",7958,14.0427822226,7,8.85,9.22,6.14,13.6
"219","Anourosorex",6259,4.80300023379999,4,3.47,6.28,0.88,20.04
"220","Antechinus",11664,12.434571475,14,10.84,10.94,8.15,13.99
"221","Aonyx",7041,2.96911034319993,3,3.05,3.09,1.99,4.19
"222","Aotus",8667,9.56579126099996,11,9.04,9.08,4.18,13.88
"223","Apodemus",10077,15.1344087495,20,15.42,15.48,13.27,18.09
"224","Apomys",10275,7.82641746569996,19,7.36,7.39,5.92,8.85
"225","Arborimus",10307,1.94592484499992,3,1.54,1.59,0.84,2.45
"226","Archaeolemur",8451,0.092412497999959,2,1.23,2.27,0.01,8.2
"227","Archboldomys",10259,3.79665897769996,2,4.12,4.15,2.54,5.66
