"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"785","Pseudochirulus",11802,11.956548562,8,8.94,9.27,5.93,13.48
"786","Pseudohydromys",10145,5.16054750457994,12,5.5,5.41,2.84,7.75
"787","Pseudomys",10167,9.58312046519995,23,10.66,10.74,9.11,12.54
"788","Ptenochirus",8344,9.64289741100001,2,9.3,9.37,7.15,11.68
"789","Pteralopex",8227,1.16927003550003,5,5.36,5.62,0.84,10.65
"790","Pteromys",9159,6.67017064899997,2,4.94,5,3.21,7.01
"791","Pteronotus",7984,13.626138214,7,15.28,15.49,12.06,19.12
"792","Pteropus",8239,7.0463817982,64,8.27,8.35,6.32,10.57
"793","Pudu",6609,7.09734375749994,2,6.13,6.14,4.51,7.7
"794","Punomys",10802,4.63226149649998,2,1.67,2.17,0.01,5.66
"795","Pusa",6991,0.911680714799957,3,1.04,1.03,0.59,1.5
"796","Pygathrix",8773,3.64401363019996,3,2.14,2.19,1.13,3.39
"797","Pygeretmus",11124,0.692405074599918,3,1.26,1.34,0.18,2.69
"798","Raphicerus",6685,4.21583722909995,3,3.97,4.03,2.36,5.72
"799","Rattus",9761,7.59375091959996,66,8.75,8.77,7.38,10.15
"800","Ratufa",8889,9.52966167499997,4,9.05,9.69,4.45,15.75
"801","Redunca",6672,3.57712056049996,3,4.05,4.1,2.56,5.88
"802","Reithrodon",10642,0.342105744899953,2,1.12,1.86,0,6.15
"803","Reithrodontomys",10498,11.121487353,22,11.01,11.03,9.09,13.05
"804","Rhagomys",10643,19.7556967412,2,19.33,19.35,16.46,22.09
"805","Rheomys",10635,4.13305786749996,4,3.2,3.47,0.86,6.56
"806","Rhinoceros",6434,6.31556402399994,2,4.83,4.87,3.28,6.6
"807","Rhinolophus",8004,11.673493783,87,13.65,14.17,10.4,18.79
"808","Rhinophylla",7822,11.6627737234001,3,11.49,11.54,9.03,14.37
"809","Rhinopithecus",8768,2.03224501899996,5,2.22,2.24,1.43,3.08
"810","Rhinopoma",7994,8.45654109,5,10.13,10.76,6.4,15.75
"811","Rhipidomys",10776,10.3936469541999,21,10.8,10.91,8.66,13.4
"812","Rhizomys",9511,5.03384990299998,3,5.6,5.71,3.04,8.73
"813","Rhogeessa",7496,10.7788584582999,12,11.34,11.41,8.64,14.31
"814","Rhynchocyon",11390,41.755456573,4,5.08,10.58,0.55,40.35
"815","Rhynchomys",10264,0.731851352799936,4,1.04,1.07,0.54,1.64
"816","Rousettus",8183,21.214022591,10,22.07,22.27,18.02,26.49
"817","Rucervus",6589,5.22893349799995,3,5.7,5.74,4.23,7.25
"818","Rupicapra",6769,0.980880160400005,2,1.07,1.09,0.33,1.92
"819","Rusa",6595,1.69509235089998,4,2.72,2.73,1.76,3.74
"820","Saccolaimus",7123,3.23661629999998,4,10.86,11.82,1.44,24.5
"821","Saccopteryx",7144,14.351250474,5,11.63,11.72,8.74,14.93
"822","Saccostomus",11046,7.30889695699997,2,4.75,7.34,0.02,23.1
"823","Saguinus",8606,4.79267508129999,11,5.17,5.24,3.91,6.66
"824","Saimiri",8652,1.13470635599995,5,1.52,1.52,0.86,2.29
"825","Salanoia",6831,0.298938956999962,2,0.32,0.34,0.05,0.67
"826","Salpingotus",11106,10.0206339999999,4,6,6.41,0.96,13.01
"827","Sapajus",8657,2.36348537839996,8,1.68,1.74,0.96,2.61
"828","Scapanus",5966,4.214057478,3,4,4.05,2.25,5.91
"829","Scapteromys",10731,1.99344527819994,3,1.83,1.84,1.06,2.69
"830","Sciurocheirus",8423,4.09997882585998,3,0.85,1.19,0.12,3.36
"831","Sciurotamias",8965,1.43591875999996,2,2.44,4.34,0.02,15.66
"832","Sciurus",9089,10.31732704,28,9.55,9.61,7.57,11.93
"833","Scolomys",11017,5.31676116629995,2,6.22,6.3,3.98,8.65
"834","Scotinomys",10594,2.15370059199998,2,3.02,3.07,1.83,4.34
"835","Scotoecus",7305,9.70805539099999,3,3.37,4.13,0.06,9.99
"836","Scotonycteris",8308,2.79196072900001,3,3.07,3.13,1.9,4.49
"837","Scotophilus",7528,9.16266458599998,18,8.49,8.81,6.07,11.62
"838","Scotorepens",7573,3.10221175069998,4,3.57,4.74,0.29,12.42
"839","Scutisorex",6011,5.21477638100001,2,3.75,3.85,1.99,5.83
"840","Semnopithecus",8735,5.50073862759996,7,6.15,6.18,4.74,7.57
"841","Sicista",11091,20.995970053,13,9.71,12.47,4.56,28.06
"842","Sigmodon",10608,11.1190048149,13,10.35,10.48,7.85,12.8
"843","Sigmodontomys",10927,6.52773631223997,2,5.91,5.94,4.48,7.45
"844","Sminthopsis",11604,18.225186036,20,16.18,16.24,13.13,19.66
"845","Smutsia",7087,8.10720224599996,2,6.52,6.81,2.19,11.39
"846","Solenodon",5922,5.297242082,3,5.75,10.9,0.15,39.59
"847","Solomys",10236,0.412046933689993,4,1.98,2.05,0.3,3.81
"848","Sorex",6311,21.470621433,78,20.59,20.84,16.33,25.94
"849","Soricomys",10272,3.78731616979994,4,3.91,3.97,2.89,5.15
"850","Sotalia",6535,0.995410238519952,2,0.88,0.9,0.25,1.62
"851","Sousa",6542,0.455290963019934,3,0.85,0.87,0.17,1.6
"852","Spalax",9495,12.601002173,9,12.77,13.43,7.76,20.23
"853","Spermophilus",9025,4.88952569099993,14,4.9,4.95,3.75,6.28
"854","Spilocuscus",11693,8.783234827,5,5.15,5.67,1.96,10.53
"855","Spilogale",7078,4.34466092599999,4,3.71,3.81,1.78,6.14
"856","Steatomys",11026,22.243127406,8,18.1,17.85,4.87,29.72
"857","Stenella",6537,2.18243583561994,5,1.91,1.92,1.39,2.45
"858","Stenocephalemys",10053,2.76829100199996,4,3.26,3.55,1.85,6.48
"859","Strigocuscus",11691,16.554526552,2,15.14,15.16,11.76,18.62
"860","Sturnira",7894,9.62070177640007,22,8.69,8.86,6.48,11.32
"861","Styloctenium",8237,0.245440771200009,2,0.38,0.4,0.05,0.79
"862","Stylodipus",11117,4.78392947899994,3,2.56,2.77,0.83,5.34
"863","Suncus",5993,20.777015804,19,20.4,20.56,16.9,25.61
"864","Sundamys",9788,0.706109480599963,3,0.96,1.01,0.14,1.96
"865","Sundasciurus",8944,10.8502821189,15,10.76,10.84,8.73,13.19
"866","Surdisorex",6254,0.291143272800014,3,3.22,4.73,0.1,13.91
"867","Sus",6452,2.01300043569998,9,2.29,2.52,1.22,4.55
"868","Syconycteris",8187,3.299372901,3,3.98,5,0.15,12.61
"869","Sylvilagus",11317,7.15235566699997,17,7.17,7.27,5.23,9.51
"870","Sylvisorex",5993,20.777015804,15,20.4,20.56,16.9,25.61
"871","Synaptomys",10312,10.9904703142,2,9.35,9.4,7.18,11.66
"872","Tachyoryctes",9509,5.42906383399998,2,3.49,4.63,0.03,12.2
"873","Tadarida",7181,13.964653587,11,14.58,14.86,12.49,17.42
"874","Taeromys",9776,2.17059011879996,7,3.48,3.45,1.35,5.42
"875","Talpa",5939,8.43496570560001,9,7.26,7.4,5.17,9.72
"876","Tamandua",11362,7.12953819699996,2,4.39,5.33,0.05,13.05
"877","Tamias",8998,9.64188889399995,25,9.31,9.37,7.02,11.67
"878","Tamiasciurus",9121,1.36194482600001,3,1.05,1.08,0.4,1.83
"879","Tamiops",8912,9.18483759789996,4,7.13,7.2,5.4,9.01
"880","Taphozous",7110,26.808709186,14,17.2,17.66,12.27,23.96
"881","Tapirus",6428,11.412898804,5,11.3,11.38,8.74,14.22
"882","Tarsius",8534,12.825027169,10,15.21,15.69,11.43,19.69
"883","Tarsomys",9848,0.449357539199951,2,0.83,1.18,0.01,3.44
"884","Tateomys",10164,0.133316832299954,2,1.03,1.68,0.01,5.51
"885","Taterillus",9543,6.46806022299998,8,8.16,8.45,5.27,12.14
"886","Thallomys",9966,4.67075234300992,4,3.57,3.61,2.39,4.96
"887","Thalpomys",10669,3.93510290279994,2,3.7,3.73,2.34,5.16
"888","Thamnomys",10131,2.62139568079994,3,2.21,3.04,0.07,8.55
"889","Thomasomys",10739,9.28921855289994,37,9.26,9.34,7.39,11.42
"890","Thomomys",11165,8.78609241899994,12,9.1,9.17,7.21,11.26
"891","Thoopterus",8362,0.488126075899999,2,1.81,3.34,0.01,12.37
"892","Thrichomys",9281,18.949324245,5,16.87,17.01,14.18,20.23
"893","Thryonomys",9197,0.737108743999954,2,1.98,4.05,0.01,16.08
"894","Thylamys",11528,11.0130389239999,13,10.1,10.19,7.93,12.74
"895","Thylogale",11730,8.40580165649996,7,7.02,7.02,4.94,8.99
"896","Thyroptera",7770,10.569193593,5,7.13,9.22,3.47,23.38
"897","Tokudaia",10075,7.22241811849995,3,6.62,6.67,4.74,8.79
"898","Tolypeutes",11354,13.785004207,2,5.02,6.16,0.03,15.49
"899","Tonatia",7801,6.97735249860006,2,6.23,6.28,4.14,8.43
"900","Toromys",9302,2.61950081259997,2,3.91,3.95,2.25,5.78
"901","Trachypithecus",8735,5.50073862759996,16,6.15,6.18,4.74,7.57
"902","Tragelaphus",6657,6.74207552799996,9,7.54,7.58,5.56,9.72
"903","Tragulus",6565,15.803664211,6,6.13,6.86,2.98,13.31
"904","Transandinomys",11013,4.36129398783993,2,4.21,4.25,2.85,5.75
"905","Triaenops",8095,3.47911098009999,5,3.07,3.4,1.65,6
"906","Trichechus",11374,2.74851716800001,3,1.53,1.67,0.32,3.22
"907","Trichosurus",11689,4.05839124099998,3,3.48,3.9,1.75,7.63
"908","Trinomys",9281,18.949324245,11,16.87,17.01,14.18,20.23
"909","Tupaia",8383,9.91564968759994,15,11.34,11.69,7.17,16.75
"910","Tursiops",6536,2.46479184781995,3,2.3,2.32,1.68,2.94
"911","Tylomys",10599,8.87385991289997,7,5.75,6.37,3.08,11.02
"912","Tylonycteris",7428,3.14598642649997,3,4.22,4.35,2.25,6.73
"913","Tympanoctomys",9461,0.932149663999951,3,1.03,1.36,0.16,3.4
"914","Urocitellus",9039,5.64081266889994,12,4.54,4.58,3.41,5.91
"915","Urocyon",6916,0.0785328068999718,2,0.38,0.41,0.05,0.8
"916","Uroderma",7827,4.41603811440007,3,3.25,3.3,2.04,4.71
"917","Uromys",10247,6.25186945029998,10,7.34,7.14,3.12,10.43
"918","Uropsilus",5926,10.438667817,5,9.52,9.58,6.6,12.4
"919","Ursus",6953,3.18407173699995,6,3.51,3.54,2.61,4.52
"920","Vampyressa",7829,9.46664725940005,8,9.8,9.86,7.96,11.9
"921","Vandeleuria",10128,5.71499275579995,3,2.11,2.83,0.06,7.58
"922","Varecia",8455,1.01098602499994,2,0.92,0.94,0.3,1.61
"923","Vespadelus",7415,6.48419586829999,9,6.41,6.58,2.41,11.36
"924","Vespertilio",7350,4.36116181,2,4.4,4.43,2.64,6.23
"925","Vicugna",6439,1.13487948799997,2,2,1.99,1.01,2.9
"926","Viverra",6804,2.57720558099993,4,2.65,2.74,1.4,4.25
"927","Voalavo",11071,6.34464325499997,2,3.09,3.92,0.02,10.18
"928","Volemys",10325,10.4325288431,2,9.54,9.55,8.15,11.03
"929","Vulpes",6913,8.50340333619997,12,7.61,7.66,5.68,9.66
"930","Wiedomys",10826,4.31734500089993,2,4.99,5.05,3.31,6.97
"931","Xerospermophilus",9055,4.15761395089996,4,3.18,3.19,2.19,4.21
"932","Xerus",8960,11.751061835,4,10.07,10.18,6.94,13.25
"933","Zaglossus",5915,4.22856872199998,3,10.57,12.04,1.01,26.1
"934","Zalophus",6966,0.346312477899943,3,0.75,0.92,0.07,2.18
"935","Zapus",11137,5.04884724099995,3,3.68,3.74,1.92,5.59
"936","Zelotomys",10044,0.499928223999973,2,1.42,1.89,0.01,5.07
"937","Zygodontomys",11015,1.56884405533995,2,1.91,3.13,0.01,10.52
"938","Zyzomys",10170,0.488761864099956,5,4.06,4.27,0.7,8.16
