BRCA1,AF540639,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540623,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540627,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540632,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540633,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540640,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540641,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540642,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
GHR,AF540643,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
CYTB,AY291433,"Aggarwal,R.K.|Kivisild,T.|Ramadevi,J.|Singh,L."
CYTB,JQ013747,"Agrellos,R.|Bonvicino,C.R.|Rosa,E.S.T.|Marques,A.A.R.|Andrea,P.S.D.|Weksler,M."
CYTB,JQ013748,"Agrellos,R.|Bonvicino,C.R.|Rosa,E.S.T.|Marques,A.A.R.|Andrea,P.S.D.|Weksler,M."
CYTB,JQ013763,"Agrellos,R.|Bonvicino,C.R.|Rosa,E.S.T.|Marques,A.A.R.|Andrea,P.S.D.|Weksler,M."
CYTB,JQ013773,"Agrellos,R.|Bonvicino,C.R.|Rosa,E.S.T.|Marques,A.A.R.|Andrea,P.S.D.|Weksler,M."
COI,GU112787,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112794,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112800,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112807,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112812,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112828,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112832,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,GU112842,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
CYTB,GU112881,"Agrizzi,J.|Loss,A.C.|Farro,A.C.|Costa,L.P.|Leite,Y.L.R."
COI,JF442343,"Agwanda,B.|Kuzmin,I.V."
COI,JF442388,"Agwanda,B.|Kuzmin,I.V."
COI,JF442394,"Agwanda,B.|Kuzmin,I.V."
COI,JF442408,"Agwanda,B.|Kuzmin,I.V."
COI,JF442430,"Agwanda,B.|Kuzmin,I.V."
COI,JF442472,"Agwanda,B.|Kuzmin,I.V."
COI,JF442488,"Agwanda,B.|Kuzmin,I.V."
COI,JF442516,"Agwanda,B.|Kuzmin,I.V."
COI,JF442544,"Agwanda,B.|Kuzmin,I.V."
COI,JF442545,"Agwanda,B.|Kuzmin,I.V."
COI,JF442546,"Agwanda,B.|Kuzmin,I.V."
COI,JF442550,"Agwanda,B.|Kuzmin,I.V."
COI,JF442629,"Agwanda,B.|Kuzmin,I.V."
COI,JF442632,"Agwanda,B.|Kuzmin,I.V."
COI,JF442689,"Agwanda,B.|Kuzmin,I.V."
COI,JF442694,"Agwanda,B.|Kuzmin,I.V."
TYR1,AF210660,"Aigner,B.|Besenfelder,U.|Muller,M.|Brem,G."
BRCA1,AB911567,"Akutsu,R.|Fukui,E.|Midori,Y.|Matsumoto,H."
CYTB,AY048793,"Albert,R."
COI,KC312620,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
COI,KC312621,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
COI,KC312623,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
COI,KC312624,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
COI,KC312627,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
COI,KC312630,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312620,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312621,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312623,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312624,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312626,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND1,KC312630,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312620,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312621,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312623,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312624,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312626,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
ND2,KC312630,"Alexander,A.|Steel,D.|Slikas,B.|Hoekzema,K.|Carraher,C.|Parks,M.|Cronn,R.|Baker,C.S."
CYTB,AY926361,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926364,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926366,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926367,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926369,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926371,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926372,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926374,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926375,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926377,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926379,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926380,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926381,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926384,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926387,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926389,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926390,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926391,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926392,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926393,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926394,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926395,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926401,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926402,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926403,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926404,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926406,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926408,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926410,"Alexander,L.F.|Riddle,B.R."
CYTB,AY926413,"Alexander,L.F.|Riddle,B.R."
ADORA3,FJ648394,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
APOB,FJ648357,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
APOB,FJ648359,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
APOB,FJ648360,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
APOB,FJ648362,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
APOB,FJ648363,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
ATP7,FJ648396,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
ATP7,FJ648397,"Ali,F.|Pons,J.|Shekelle,M.|Goodman,M.|Meier,R."
