Order,Family,Genus,Species,Binomial name,Extinct or extant,Island endemicity: Strict definition,IslandEndemic_strict,Island endemicity: Classical definition,IslandEndemic_classic,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,potenziani,Presbytis_potenziani,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,rubicunda,Presbytis_rubicunda,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,thomasi,Presbytis_thomasi,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Procolobus,kirkii,Procolobus_kirkii,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Simias,concolor,Simias_concolor,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Trachypithecus,auratus,Trachypithecus_auratus,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Trachypithecus,vetulus,Trachypithecus_vetulus,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Axis,calamianensis,Axis_calamianensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Axis,kuhlii,Axis_kuhlii,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,cretensis,Candiacervus_cretensis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,dorothensis,Candiacervus_dorothensis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,major,Candiacervus_major,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,rethymnensis,Candiacervus_rethymnensis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,ropalophorus,Candiacervus_ropalophorus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Candiacervus,Sp II,Candiacervus_SpII,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Capreolus,miyakoensis,Capreolus_miyakoensis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Cervus,astylodon,Cervus_astylodon,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Dicroceros,sp,Dicroceros_sp,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
