"harmMeans" "medians" "means" "Count.of.NA" "range" "variance" "stdev" "cv" "sterror" "low95" "high95"
"Elephantulus_rupestris_MACROSCELIDIDAE_MACROSCELIDEA" 0.0487729068204355 0.0491077463417399 0.049923906662516 0 0.05481989852388 5.91975910298512e-05 0.00769399707758271 0.154114483259371 7.69399707758271e-05 0.0368627564959809 0.0670060441682592
"Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA" 0.0391316432692363 0.0393035932743856 0.0401657181632767 0 0.0419027876904962 4.36934191139349e-05 0.00661009978093636 0.164570685729203 6.61009978093636e-05 0.0290044026956334 0.0555648319873765
"Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0391316432692363 0.0393035932743856 0.0401657181632767 0 0.0419027876904962 4.36934191139349e-05 0.00661009978093636 0.164570685729203 6.61009978093636e-05 0.0290044026956334 0.0555648319873765
"Elephantulus_rozeti_MACROSCELIDIDAE_MACROSCELIDEA" 0.0442307029989366 0.0447849822996998 0.045282261912861 0 0.0513182374996975 4.86667176103334e-05 0.00697615349675832 0.154059298322661 6.97615349675832e-05 0.0329963494483092 0.0602962199187194
"Petrodromus_tetradactylus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0442307029989366 0.0447849822996998 0.045282261912861 0 0.0513182374996975 4.86667176103334e-05 0.00697615349675832 0.154059298322661 6.97615349675832e-05 0.0329963494483092 0.0602962199187194
"Macroscelides_micus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0413967850249204 0.0419423926646928 0.0424524107730934 0 0.0517357858007771 4.63871104999188e-05 0.00681080835877202 0.160433959691372 6.81080835877202e-05 0.0306225528764123 0.0574481913085527
"Macroscelides_flavicaudatus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0532565559323007 0.0540092027364246 0.0544209573882826 0 0.0593917764209507 6.44254346935195e-05 0.00802654562645224 0.147489974665172 8.02654562645224e-05 0.0400899340953788 0.0717453508210016
"Macroscelides_proboscideus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0532565559323007 0.0540092027364246 0.0544209573882826 0 0.0593917764209507 6.44254346935195e-05 0.00802654562645224 0.147489974665172 8.02654562645224e-05 0.0400899340953788 0.0717453508210016
"Microgale_grandidieri_TENRECIDAE_AFROSORICIDA" 0.0544959205786208 0.0549461775192374 0.0557141961915323 0 0.0583221149349525 6.98438688434123e-05 0.0083572644354126 0.150002423200764 8.3572644354126e-05 0.041271756583937 0.0743451285273522
"Microgale_brevicaudata_TENRECIDAE_AFROSORICIDA" 0.0544959205786208 0.0549461775192374 0.0557141961915323 0 0.0583221149349525 6.98438688434123e-05 0.0083572644354126 0.150002423200764 8.3572644354126e-05 0.041271756583937 0.0743451285273522
"Limnogale_mergulus_TENRECIDAE_AFROSORICIDA" 0.0418018917868309 0.0415332396871607 0.0437832278402622 0 0.0815428395198795 0.000102461345257234 0.010122319163968 0.231191706579927 0.00010122319163968 0.0299247436829704 0.0694597233603955
"Microgale_principula_TENRECIDAE_AFROSORICIDA" 0.0614486905701607 0.0623895296689038 0.0633251971466322 0 0.0942498845825978 0.000122808950907419 0.0110819200009483 0.175000165815318 0.000110819200009483 0.0446256010275942 0.0875059738259831
"Microgale_majori_TENRECIDAE_AFROSORICIDA" 0.0609586400131734 0.0619786573134012 0.0628343376190069 0 0.0857003320089734 0.000120745215517602 0.0109884127842743 0.174879105926158 0.000109884127842743 0.0440436844265076 0.086239572984188
"Microgale_longicaudata_TENRECIDAE_AFROSORICIDA" 0.0562515229904984 0.0568073323981814 0.0581890147395889 0 0.0801514717810915 0.000119367941172595 0.010925563654686 0.187759901135648 0.00010925563654686 0.040471082909517 0.0834400549848269
