"harmMeans" "medians" "means" "low95" "high95" "CIwidth"
"Salpingotus_crassicauda" 0.0748274146795147 0.0816563507110805 0.0817168971348984 0.0449940846160678 0.127882413217199 0.0828883286011313
"Salpingotus_pallidus" 0.076101991630405 0.0814232938534717 0.0826675527129428 0.0467146086441523 0.134486156397278 0.0877715477531255
"Salpingotus_thomasi" 0.0759179694016893 0.0823722000438543 0.0828453551435585 0.0457506536345004 0.135191835622867 0.0894411819883671
"Sicista_kluchorica" 0.0899919398547061 0.103229716970071 0.101153997251401 0.0424159684693673 0.160899274813792 0.118483306344425
"Sicista_subtilis" 0.0849419448425319 0.0910684825918538 0.0942694478164982 0.0447432599700125 0.163012742065393 0.118269482095381
"Sicista_caucasica" 0.0900311412757983 0.0997807562504163 0.102304836191367 0.0407347299303656 0.169693988095527 0.128959258165161
"Sicista_tianshanica" 0.0901579339788055 0.0993434162202449 0.101461489544387 0.0456715841601461 0.173747551344682 0.128075967184535
"Sicista_caudata" 0.0848211855615996 0.0938645998276903 0.0962548533093968 0.0401229621436522 0.157926376185664 0.117803414042011
"Sicista_napaea" 0.0845313901653578 0.0954842360299585 0.0957828335872175 0.0425092481374355 0.166633995681831 0.124124747544396
"Sicista_betulina" 0.0875004915128542 0.0998334410609022 0.0996277069412825 0.0383526156647205 0.16404719820943 0.12569458254471
"Sicista_strandi" 0.0891108744369205 0.0967279725573769 0.0992560583697926 0.0465409795978735 0.163494286468331 0.116953306870458
"Sicista_concolor" 0.0818770920229615 0.0916047028450566 0.0933494672234942 0.0387273785557499 0.158242790788891 0.119515412233141
"Sicista_severtzovi" 0.0849470535983408 0.0960340935278158 0.0975561714999972 0.0371594711751122 0.164156434265639 0.126996963090527
"Sicista_pseudonapaea" 0.0829066606536114 0.0949040255200998 0.0954107274698829 0.0368495247606153 0.156175723564594 0.119326198803978
"Sicista_armenica" 0.0961598445122115 0.106782137485151 0.106187468168318 0.0501349667994674 0.160150267273935 0.110015300474468
"Sicista_kazbegica" 0.0847845340135569 0.094722497031017 0.0961652295267107 0.0383978033928979 0.160232999978066 0.121835196585168
"Zapus_hudsonius" 0.0888576995353711 0.0930098800609762 0.0927195475313792 0.0601520113956982 0.131904957737612 0.0717529463419135
"Zapus_trinotatus" 0.0873380578374755 0.0901736940864084 0.0913983693097019 0.0592276057544363 0.131904957737612 0.0726773519831753
"Zapus_princeps" 0.0879769247377134 0.090043202393545 0.0918628719383244 0.0599570609293727 0.132064209105341 0.0721071481759681
"Eozapus_setchuanus" 0.075219952017505 0.0776306769234227 0.0797239832781574 0.0484885532021212 0.121990370777238 0.0735018175751165
"Napaeozapus_insignis" 0.0744957526473316 0.0769640090435283 0.0794755780518032 0.0468496507494608 0.122090644659751 0.0752409939102898
"Euchoreutes_naso" 0.0536712727402207 0.0560435342005786 0.0587852660683374 0.0304374921631516 0.101591169365585 0.0711536772024332
"Allactodipus_bobrinskii" 0.0393228302398335 0.041930858368474 0.0410026944359119 0.0268669801484297 0.0536837826978019 0.0268168025493722
"Pygeretmus_pumilio" 0.0586120866971473 0.0584693816215755 0.0596548929527288 0.0480388692388401 0.0756299578270469 0.0275910885882069
"Pygeretmus_platyurus" 0.0578829903666724 0.056637899742415 0.0588122361143799 0.0482697086305206 0.0741875972494871 0.0259178886189664
"Pygeretmus_shitkovi" 0.0591808350962715 0.0591530330292378 0.0601779653358906 0.0488331765826002 0.0756294149134505 0.0267962383308503
"Dendromus_messorius" 0.0904968211780226 0.09673578768778 0.102381826169595 0.0471970504058647 0.187124287715483 0.139927237309618
"Dendromus_mystacalis" 0.0859571605637457 0.0943601231350134 0.097783937096261 0.0456431149269671 0.176508786399846 0.130865671472879
"Dendromus_nyikae" 0.0923541888755105 0.0972339114479274 0.103644998306203 0.0491624880341532 0.185636829491056 0.136474341456903
"Dendromus_mesomelas" 0.0822514694088242 0.0883782794871283 0.0938112926642034 0.0425659763321786 0.171708325382554 0.129142349050375
"Dendromus_oreas" 0.0933311447522213 0.10190989925787 0.104265109781525 0.04393495851916 0.18206184348881 0.13812688496965
"Dendromus_lovati" 0.0948270580939333 0.0998601167919967 0.106102003933544 0.0507454064087266 0.185757996280212 0.135012589871485
"Dendromus_nyasae" 0.0898962598070974 0.0989123909452174 0.101170319691944 0.0432859512668748 0.188075606043893 0.144789654777018
"Dendromus_vernayi" 0.0917601125787952 0.0970594913477726 0.101291648504859 0.0512327528330165 0.186561283527275 0.135328530694259
"Dendromus_insignis" 0.0874815536767627 0.0967402091620961 0.0993161558423609 0.0436039322378824 0.183752946584239 0.140149014346356
"Dendromus_kahuziensis" 0.0954861074967406 0.100292102864354 0.106875340405014 0.0512965280568541 0.195117034544801 0.143820506487947
"Dendromus_melanotis" 0.0828639218449968 0.0839572158318874 0.0843506078448254 0.0644705947561573 0.107234877574483 0.0427642828183257
"Dendromus_leucostomus" 0.0828639218449968 0.0839572158318874 0.0843506078448254 0.0644705947561573 0.107234877574483 0.0427642828183257
"Beamys_hindei" 0.0603254859179415 0.0606801972124796 0.0607034277100596 0.0512314115755924 0.0708244994965156 0.0195930879209233
"Beamys_major" 0.0603254859179415 0.0606801972124796 0.0607034277100596 0.0512314115755924 0.0708244994965156 0.0195930879209233
"Cricetomys_emini" 0.0653374301738258 0.0654735996560391 0.065639764631971 0.0577068315645654 0.0754228899398259 0.0177160583752605
"Cricetomys_kivuensis" 0.0653374301738258 0.0654735996560391 0.065639764631971 0.0577068315645654 0.0754228899398259 0.0177160583752605
"Cricetomys_gambianus" 0.0650883457916424 0.0652999646699197 0.0654199768217095 0.056088280412958 0.0748880219288998 0.0187997415159417
"Cricetomys_ansorgei" 0.0650883457916424 0.0652999646699197 0.0654199768217095 0.056088280412958 0.0748880219288998 0.0187997415159417
"Saccostomus_campestris" 0.0518874508110585 0.0525556382504703 0.0524472045433876 0.042352618620242 0.0629049679432433 0.0205523493230013
"Saccostomus_mearnsi" 0.0518874508110585 0.0525556382504703 0.0524472045433876 0.042352618620242 0.0629049679432433 0.0205523493230013
"Dendroprionomys_rousseloti" 0.0626792805332834 0.0702905313826687 0.0756335687447155 0.0268020226406738 0.142119389260334 0.11531736661966
"Deomys_ferrugineus" 0.0615861017540675 0.0692885087808102 0.0772058735553885 0.028844370630149 0.163745243373403 0.134900872743254
"Mystromys_albicaudatus" 0.0576849292303763 0.0691198748002333 0.0761424542086144 0.0252950244837562 0.160705572696337 0.135410548212581
"Spalax_ehrenbergi" 0.0716885321142192 0.0728739418459025 0.07467229862411 0.0512867884290634 0.103827201916677 0.0525404134876131
"Spalax_nehringi" 0.0726157911403733 0.0733103938322487 0.0755279845447008 0.051923848287688 0.106047219166006 0.0541233708783182
"Spalax_leucodon" 0.0719291924360297 0.0739932707201872 0.0750409207948289 0.0517545271436051 0.106047219166006 0.0542926920224011
"Spalax_arenarius" 0.0829751643891657 0.0859464521682635 0.0887112100267609 0.0556391492524846 0.134523966851408 0.0788848175989235
"Spalax_giganteus" 0.0844265814096607 0.0844513502320932 0.0851078944072071 0.0723015812916993 0.0997800792640737 0.0274784979723744
"Spalax_uralensis" 0.0844265814096607 0.0844513502320932 0.0851078944072071 0.0723015812916993 0.0997800792640737 0.0274784979723744
"Spalax_zemni" 0.0844805247846983 0.0875839775700995 0.0903981607756227 0.0556318354473219 0.138677357076966 0.0830455216296438
"Spalax_microphthalmus" 0.0841042951423418 0.0864968712977426 0.0893126212093801 0.0554375923855429 0.134839198392979 0.0794016060074362
"Spalax_graecus" 0.0850494249974782 0.0879427588566675 0.0905616797035341 0.0559282253557931 0.135445411961409 0.079517186605616
"Gerbilliscus_phillipsi" 0.119425767760236 0.132021721354805 0.135017665708083 0.0639652228469407 0.226885864191235 0.162920641344294
"Gerbilliscus_guineae" 0.122050406911115 0.132515096893109 0.136642474243357 0.0622046106837154 0.232049669485092 0.169845058801377
"Gerbilliscus_inclusus" 0.128483029734563 0.137271991204498 0.140104998151626 0.065940324188936 0.229877210492225 0.163936886303289
"Gerbilliscus_leucogaster" 0.116681917323151 0.125590101171693 0.130230011411475 0.0644073049622931 0.228760578294606 0.164353273332313
"Gerbilliscus_robustus" 0.122538550948456 0.132338093295684 0.136813910912651 0.0632394436187686 0.230358242131187 0.167118798512419
"Gerbilliscus_brantsii" 0.122940537691966 0.133239642740175 0.135316933997195 0.0653080351101409 0.221960254475469 0.156652219365328
"Gerbilliscus_kempi" 0.120698522253134 0.129323192627054 0.134736590495216 0.0653358420764542 0.23441932643107 0.169083484354615
"Gerbilliscus_nigricaudus" 0.121055553651853 0.128943766254364 0.134351109286934 0.0656201457386297 0.223037369871056 0.157417224132426
"Gerbilliscus_validus" 0.123457499134482 0.132607834431732 0.136996053105044 0.0645416329316334 0.234782316258429 0.170240683326796
"Gerbilliscus_afra" 0.120583225335971 0.127881574200804 0.132960588251329 0.0656200269218945 0.221084421576135 0.155464394654241
"Gerbilliscus_boehmi" 0.0773522586470432 0.0812671929532876 0.0806384152367811 0.0541563303698196 0.106815419019361 0.0526590886495413
"Tatera_indica" 0.0774020950978704 0.0812671929532876 0.0806592307840052 0.054677139172597 0.106815419019361 0.0521382798467638
"Desmodilliscus_braueri" 0.0673635520679643 0.0707144714149892 0.0758514173911825 0.04051782690486 0.137544061412093 0.0970262345072327
"Ammodillus_imbellis" 0.0730947511392954 0.0770467734903059 0.0813085257514145 0.041681200266987 0.137226596525902 0.0955453962589153
"Pachyuromys_duprasi" 0.0727728162649709 0.0739143994497165 0.0803575091260253 0.0452992256828784 0.136953330973887 0.0916541052910089
"Desmodillus_auricularis" 0.073591025686795 0.0738323429082564 0.0737667391320414 0.067327229316671 0.0807024782382712 0.0133752489216002
"Gerbillurus_vallinus" 0.110105453974945 0.113179308760166 0.11449536373215 0.0823074050813299 0.162810296616107 0.0805028915347769
"Gerbillurus_tytonis" 0.108469111305169 0.109692401041633 0.113392642586721 0.0798360051892089 0.166907245577847 0.0870712403886384
"Gerbillurus_paeba" 0.108806463682498 0.111645953289314 0.113899852242432 0.0801311326379395 0.164878447933748 0.0847473152958087
"Gerbillurus_setzeri" 0.109206803409465 0.111413626573952 0.113701778653776 0.0811767940942704 0.162743993233779 0.0815671991395089
"Taterillus_arenarius" 0.112375930817207 0.120046850887613 0.124928533176621 0.0659582383172932 0.213327953329015 0.147369715011722
"Taterillus_emini" 0.112275326212383 0.121646615621801 0.124637694325249 0.0653565363706036 0.207772937343364 0.14241640097276
"Taterillus_harringtoni" 0.107453529220828 0.116406095934824 0.119997609098941 0.0647256716975099 0.210846567985938 0.146120896288428
"Taterillus_petteri" 0.114183418523747 0.124825832649024 0.127265857520011 0.0651585144151247 0.204818844470453 0.139660330055328
"Taterillus_gracilis" 0.110547429541107 0.118038631308859 0.123454221638482 0.062215761835222 0.206958381508887 0.144742619673665
"Taterillus_congicus" 0.105030344248255 0.111417944971898 0.11498245690697 0.0633916651952218 0.192969149174998 0.129577483979776
